Sample_ID	PFGE
SRR1569999	EXWX01.0318
SRR1570086	EXWX01.1301
SRR1570089	EC1X01.0007
SRR1570120	EXYX01.0032
SRR1573227	EXDX01.0529
SRR1573228	EXDX01.0529
SRR1573229	EXDX01.0529
SRR1573230	EXDX01.0529
SRR1573231	EXDX01.0529
SRR1580920	EXHX01.0215
SRR1580927	EXHX01.0215
SRR1580928	EXHX01.0096
SRR1580930	EXHX01.0096
SRR1581007	EVCX01.0202
SRR1581008	EVCX01.0202
SRR1581009	EVCX01.0202
SRR1605254	J16X01.2898
SRR1609769	EC5X01.0074
SRR1609861	EXKX01.0011
SRR1609862	EXKX01.0011
SRR1609871	EXKX01.0011
SRR1610025	EC5X01.0074
SRR1610026	EXAX01.0003
SRR1610028	EXKX01.0011
SRR1610029	EXKX01.0011
SRR1610030	EXKX01.0011
SRR1610031	EXKX01.0011
SRR1610032	EXKX01.0011
SRR1610033	EXKX01.0011
SRR1610034	EXKX01.0011
SRR1610035	ENMX01.0326
SRR1610037	ENMX01.0326
SRR1634435	EXHX01.0124
SRR1635539	EXDX01.1005
SRR1635540	EVCX01.0029
SRR1640151	ENMX01.0092
SRR1640155	EXKX01.0011
SRR1640157	EXKX01.0001
SRR1649236	EXKX01.0011
SRR1649237	EXKX01.0011
SRR1649238	EXKX01.0011
SRR1649240	EVCX01.0019
SRR1663100	EXKX01.0024
SRR1663153	EXKX01.0024
SRR1663174	EXKX01.0024
SRR1664386	EVCX01.2071
SRR1664387	E71X01.0023
SRR1664388	EXDX01.0358
SRR1664393	EXQX01.0017
SRR1664397	EXWX01.0377
SRR1664398	EXKX01.0047
SRR1664400	EXYX01.0032
SRR1691184	EXKX01.0261
SRR1691186	EXDX01.0559
SRR1691187	EXDX01.0666
SRR1691188	EXDX01.0489
SRR1693703	EXDX01.0289
SRR1696794	EXKX01.0024
SRR1714112	EXKX01.0024
SRR1714116	EXKX01.0024
SRR1714128	EVCX01.0639
SRR1714132	EVCX01.0639
SRR1714133	EVCX01.0639
SRR1714134	EXWX01.1076
SRR1724590	EVCX01.0639
SRR1724591	EVCX01.0639
SRR1724592	EXWX01.0377
SRR1724594	EXWX01.0377
SRR1724596	EXWX01.0377
SRR1732278	EXKX01.0011
SRR1732279	EXDX01.0289
SRR1732281	EXKX01.0024
SRR1732284	EVCX01.0029
SRR1732295	EXKX01.0024
SRR1732296	EXHX01.0084
SRR1732298	EXHX01.0087
SRR1732299	EXHX01.0074
SRR1732301	EVCX01.0639
SRR1734959	EVCX01.0639
SRR1735268	EVCX01.0639
SRR1735269	EVCX01.0639
SRR1738016	ENMX01.0326
SRR1738020	EXKX01.0106
SRR1738021	EVCX01.0020
SRR1750622	EVCX01.0125
SRR1750644	EH2X01.0008
SRR1750646	EXQX01.0017
SRR1758753	EXHX01.0074
SRR1758760	EXHX01.0074
SRR1767912	EVCX01.0260
SRR1767913	EVCX01.0174
SRR1767914	EXWX01.1830
SRR1767915	EXWX01.0377
SRR1767916	EXDX01.0489
SRR1767917	EXWX01.1417
SRR1767919	EVCX01.0639
SRR1767921	EXWX01.0377
SRR1773023	EXKX01.0024
SRR1773041	EXWX01.0342
SRR1773048	ENMX01.0326
SRR1773051	EVCX01.0639
SRR1773052	EVCX01.0639
SRR1773055	EVCX01.0639
SRR1773061	EVCX01.0639
SRR1773064	EVCX01.2122
SRR1773073	EH2X01.0008
SRR1785134	EVCX01.0202
SRR1785137	EXWX01.0377
SRR1785142	EXDX01.0014
SRR1785143	EXKX01.0011
SRR1793817	EXDX01.0100
SRR1793818	ENMX01.0326
SRR1793819	EXWX01.1076
SRR1793820	EH2X01.0008
SRR1793821	EH2X01.0008
SRR1793823	EH2X01.0008
SRR1793824	EH2X01.0008
SRR1795507	EVCX01.0260
SRR1795509	EXKX01.0024
SRR1803829	EVCX01.0001
SRR1803831	EVCX01.0004
SRR1803832	EVCX01.2071
SRR1804194	EXWX01.0103
SRR1804195	EXDX01.0109
SRR1811832	ENMX01.0326
SRR1813660	EH2X01.0008
SRR1813661	EH2X01.0008
SRR1813662	EH2X01.0008
SRR1813663	EH2X01.0008
SRR1813664	EH2X01.0008
SRR1813665	EH2X01.0008
SRR1813666	EH2X01.0008
SRR1813669	EH2X01.0008
SRR1813672	ENMX01.0135
SRR1822541	EH2X01.0008
SRR1822543	EXWX01.1076
SRR1822544	EXKX01.0011
SRR1822546	EH2X01.0052
SRR1822547	EH2X01.0008
SRR1822583	EXDX01.0068
SRR1822584	EXKX01.0011
SRR1822588	EXDX01.0014
SRR1822592	EXWX01.0084
SRR1822596	EVCX01.0033
SRR1822600	EVCX01.0020
SRR1822601	EXDX01.0014
SRR1822602	EVCX01.0202
SRR1822604	EXDX01.0109
SRR1823714	J16X01.1166
SRR1823715	J16X01.1244
SRR1823716	J16X01.2898
SRR1823717	J16X01.2898
SRR1823718	J16X01.2898
SRR1823719	J16X01.2898
SRR1823722	J16X01.2898
SRR1823723	J16X01.2898
SRR1870108	EXWX01.3758
SRR1870311	EH2X01.0008
SRR1870329	EXDX01.0014
SRR1870334	EH2X01.0008
SRR1870457	EXDX01.0014
SRR1870458	EXDX01.0014
SRR1870498	EXDX01.0014
SRR1870604	EH2X01.0167
SRR1870605	EH2X01.0167
SRR1870683	EH2X01.0167
SRR1870696	EH2X01.0008
SRR1870756	EH2X01.0008
SRR1870757	EVCX01.0202
SRR1870782	EXQX01.0022
SRR1870884	EXQX01.0022
SRR1871047	EZDX01.0006
SRR1871101	EVCX01.1795
SRR1871124	EVCX01.1795
SRR1871295	E98X01.0002
SRR1871413	EXDX01.0007
SRR1871414	EXDX01.0529
SRR1913711	EXKX01.0082
SRR1913713	EH2X01.0167
SRR1913716	EXHX01.0124
SRR1913718	EXHX01.0992
SRR1913719	EXHX01.0224
SRR1913720	EVCX01.0128
SRR1913726	EXWX01.0065
SRR1913728	EXDX01.0014
SRR1913729	EXWX01.0058
SRR1913753	EVCX01.0430
SRR1913756	EXWX01.1370
SRR1913761	EXKX01.0052
SRR1913767	EXWX01.0222
SRR1914949	EXHX01.2294
SRR1914950	EXHX01.0008
SRR1914953	EXHX01.0066
SRR1917512	EVCX01.1795
SRR1917513	EXWX01.0102
SRR1917514	EC5X01.0086
SRR1922555	EVCX01.3360
SRR1944447	EXWX01.1211
SRR1944450	EVCX01.0029
SRR1944453	EVCX01.1513
SRR1951445	EXDX01.0666
SRR1951447	EXKX01.0142
SRR1953024	EXWX01.0377
SRR1964550	J16X01.1148
SRR1964551	EXKX01.0011
SRR1964554	EXDX01.0041
SRR1964555	EH2X01.0008
SRR1964566	EXYX01.0032
SRR1964567	J16X01.2898
SRR1964568	J16X01.0232
SRR1964569	J16X01.1166
SRR1999077	EXKX01.0011
SRR1999082	EXQX01.0017
SRR1999089	EXDX01.0109
SRR1999091	EXDX01.0109
SRR1999096	EXDX01.1381
SRR1999115	ENMX01.0139
SRR1999263	EXHX01.0047
SRR1999265	EXHX01.0047
SRR1999753	EXKX01.0142
SRR1999755	EXWX01.1301
SRR1999779	EXWX01.0477
SRR1999944	EHZX01.0003
SRR1999964	EXHX01.0047
SRR1999973	EXKX01.0001
SRR2000439	EXHX01.0047
SRR2002633	EXDX01.0497
SRR2002638	EXKX01.0011
SRR2002639	EXKX01.0011
SRR2002640	EXHX01.0784
SRR2002642	EXYX01.0150
SRR2002643	EXKX01.0033
SRR2002647	EXDX01.1111
SRR2014867	EC1X01.0007
SRR2015049	EVCX01.0004
SRR2015091	EXKX01.0001
SRR2015109	EH2X01.0167
SRR2015110	EH2X01.0002
SRR2015120	EXYX01.0032
SRR2015138	EVCX01.0221
SRR2015206	EXHX01.0047
SRR2037373	EH2X01.0010
SRR2037375	EVCX01.0144
SRR2037376	EXDX01.2044
SRR2038445	EXWX01.0084
SRR2038447	EXWX01.0084
SRR2038448	EXKX01.0002
SRR2038449	EXQX01.0017
SRR2038656	EXHX01.1343
SRR2038657	EXYX01.0032
SRR2038661	EVCX01.2211
SRR2038674	E71X01.0001
SRR2038678	ENMX01.0016
SRR2038680	EXKX01.0001
SRR2038681	EXKX01.0001
SRR2038682	EVCX01.0147
SRR2038687	EXHX01.0047
SRR2038688	EXHX01.0047
SRR2038690	EXHX01.0047
SRR2043355	EVCX01.1795
SRR2043362	EXWX01.0065
SRR2056061	ENMX01.0326
SRR2056062	EH2X01.0008
SRR2056064	EXDX01.0289
SRR2056065	EXDX01.0289
SRR2056070	EXWX01.1076
SRR2056313	JZXN11.0136
SRR2056377	J16X01.2898
SRR2056378	J16X01.2898
SRR2056390	EVCX01.0202
SRR2056394	EXYX01.0033
SRR2056395	EXYX01.0033
SRR2056397	EXKX01.0289
SRR2056398	EH2X01.0002
SRR2056399	E71X01.0001
SRR2056402	ENMX01.0016
SRR2056403	ENMX01.0016
SRR2056404	ENMX01.0016
SRR2056405	EXHX01.0784
SRR2056406	EXHX01.0784
SRR2056407	EXHX01.0784
SRR2056410	EXWX01.0182
SRR2056423	EVCX01.0111
SRR2056424	EVCX01.0111
SRR2056429	EXKX01.0001
SRR2056433	EVCX01.1795
SRR2056437	EVCX01.0526
SRR2056438	EVCX01.0260
SRR2080964	EXHX01.5969
SRR2080965	EXHX01.5969
SRR2080966	EXHX01.5969
SRR2080967	EXHX01.5969
SRR2080968	EXHX01.5969
SRR2080969	EXHX01.5969
SRR2080970	EXHX01.5969
SRR2080971	EXHX01.5969
SRR2080974	EXHX01.5969
SRR2080975	EXHX01.5969
SRR2081184	J16X01.0775
SRR2081185	J16X01.0232
SRR2081187	J16X01.0232
SRR2081188	J16X01.0232
SRR2081189	J16X01.0232
SRR2081190	J16X01.0232
SRR2087715	J16X01.0232
SRR2087717	J16X01.0232
SRR2095938	EXHX01.0784
SRR2095940	EVCX01.1693
SRR2095942	EXDX01.0207
SRR2095944	EXWX01.0187
SRR2095945	EXDX01.0014
SRR2095948	EVJX01.0021
SRR2097498	J16X01.0232
SRR2097499	J16X01.0232
SRR2102914	EXWX01.0377
SRR2102916	EXWX01.0058
SRR2102926	ENMX01.0326
SRR2102931	EVCX01.0174
SRR2102941	EVCX01.0740
SRR2102948	EVCX01.0019
SRR2103764	EXHX01.1348
SRR2103767	EXHX01.0047
SRR2103770	EXHX01.0074
SRR2103772	EXHX01.0200
SRR2103773	EXHX01.3787
SRR2103801	EXWX01.0030
SRR2119217	EXWX01.1830
SRR2119221	EXDX01.0489
SRR2120913	EXWX01.1917
SRR2120919	EVJX01.0021
SRR2120920	EXDX01.0020
SRR2120922	EXDX01.0020
SRR2120925	EXDX01.0020
SRR2120929	EZ5X01.0030
SRR2120930	EZ5X01.0030
SRR2120938	EXWX01.0377
SRR2121030	EXYX01.0032
SRR2121034	EXWX01.0084
SRR2121041	EXWX01.0323
SRR2121042	EXWX01.0323
SRR2125694	EXWX01.1076
SRR2125821	EVCX01.0020
SRR2125822	EVCX01.0934
SRR2125867	EXWX01.0477
SRR2125877	EVCX01.0019
SRR2125880	EVCX01.1186
SRR2125882	EXWX01.0030
SRR2125883	EVCX01.0016
SRR2125930	EH2X01.0008
SRR2125993	EXHX01.0200
SRR2125996	EXHX01.0200
SRR2126000	EXHX01.6185
SRR2126285	EXHX01.0074
SRR2126287	EXHX01.0074
SRR2131160	EXHX01.3787
SRR2131162	EXHX01.3787
SRR2131163	EXWX01.0789
SRR2131166	EXHX01.0248
SRR2131167	EXHX01.0248
SRR2131168	EXHX01.0087
SRR2131172	EXHX01.0047
SRR2131785	EXHX01.0084
SRR2131797	EXHX01.1348
SRR2131799	EXHX01.1348
SRR2131801	EXHX01.0087
SRR2131803	EXHX01.0008
SRR2131819	EXHX01.1348
SRR2131820	EXHX01.0248
SRR2132065	EXWX01.0167
SRR2132073	EXWX01.0055
SRR2132077	EXWX01.0025
SRR2155429	EVCX01.0507
SRR2155431	EXKX01.0011
SRR2155432	E98X01.0002
SRR2155438	EXDX01.1133
SRR2155439	EXDX01.1111
SRR2155440	EXDX01.1111
SRR2155443	EVCX01.0554
SRR2155445	EXQX01.0100
SRR2155453	EVCX01.0004
SRR2155524	EXYX01.0015
SRR2177958	EXWX01.0058
SRR2177959	EXDX01.0152
SRR2177963	EH2X01.0008
SRR2177964	EXDX01.0395
SRR2177967	EVCX01.0740
SRR2177977	EVCX01.0430
SRR2177978	EXWX01.0058
SRR2177979	EVCX01.0073
SRR2177989	EXDX01.1475
SRR2177995	EXWX01.0477
SRR2177996	EVCX01.0071
SRR2178041	EXDX01.1416
SRR2178044	EXDX01.1133
SRR2178050	EXWX01.2732
SRR2178056	EXYX01.0017
SRR2178060	EH2X01.0008
SRR2178062	EVCX01.1513
SRR2178063	EXWX01.0569
SRR2178072	EXYX01.0017
SRR2178078	EXDX01.0958
SRR2178087	EXKX01.0033
SRR2178097	EC1X01.0007
SRR2178104	EVCX01.0001
SRR2178117	EVCX01.2738
SRR2178193	EH2X01.0066
SRR2178218	EVCX01.0740
SRR2178220	EVCX01.0174
SRR2178221	EVCX01.0674
SRR2188118	EXHX01.1348
SRR2192238	EXWX01.0377
SRR2395819	EXWX01.0203
SRR2395910	EXDX01.0152
SRR2397381	EXWX01.0304
SRR2397459	EXHX01.0074
SRR2415792	EXWX01.0187
SRR2415794	EVCX01.0554
SRR2415797	EVCX01.0554
SRR2415804	EXKX01.0289
SRR2415805	ENMX01.0135
SRR2415807	EXKX01.0011
SRR2415808	EVCX01.1693
SRR2415811	EVCX01.0167
SRR2415814	EVCX01.1492
SRR2415817	EXQX01.0017
SRR2415819	EXDX01.0152
SRR2415823	EXYX01.0032
SRR2415824	EXDX01.1475
SRR2415826	EXKX01.0011
SRR2415827	EXWX01.0102
SRR2415829	EXDX01.1475
SRR2415839	EVCX01.0554
SRR2415840	EXDX01.1133
SRR2415850	EH2X01.0008
SRR2415855	ENMX01.0069
SRR2415857	EXKX01.0261
SRR2415892	ENMX01.0135
SRR2415893	EXDX01.0007
SRR2415894	EVCX01.0674
SRR2415898	EXWX01.0065
SRR2417018	EXWX01.0084
SRR2417019	EVCX01.0019
SRR2417034	EXKX01.0011
SRR2417035	EVCX01.1693
SRR2417036	EXWX01.1301
SRR2417042	JZXN11.0006
SRR2417043	EH2X01.0008
SRR2417049	EXKX01.0011
SRR2417052	EXKX01.0289
SRR2417056	EZ5X01.0030
SRR2417060	EXWX01.0258
SRR2417061	EVCX01.3325
SRR2417064	EXKX01.0011
SRR2417065	EVCX01.1795
SRR2417067	EC5X01.0199
SRR2417070	EXWX01.0258
SRR2417071	EXWX01.0498
SRR2417080	EXYX01.0032
SRR2417082	EXWX01.0058
SRR2417085	EXQX01.0022
SRR2417090	EVCX01.0147
SRR2417091	EXDX01.0014
SRR2423593	EXWX01.0065
SRR2480637	EH2X01.0008
SRR2480641	EXWX01.0030
SRR2480648	EVCX01.0095
SRR2480651	EVCX01.1513
SRR2480657	EXAX01.0003
SRR2480665	EXDX01.2044
SRR2480670	EVCX01.0128
SRR2480671	EXWX01.0030
SRR2480672	EXQX01.0069
SRR2480675	EXWX01.0084
SRR2480676	EXYX01.0032
SRR2480679	EXYX01.0032
SRR2480715	EXWX01.1649
SRR2480717	EXKX01.0033
SRR2481120	EH2X01.0008
SRR2481125	EXWX01.0323
SRR2481128	EXKX01.0058
SRR2481131	EH2X01.0234
SRR2481134	EXWX01.0032
SRR2481135	EXDX01.0111
SRR2481184	EXWX01.1387
SRR2481190	EXWX01.3707
SRR2481191	EVCX01.1693
SRR2481192	EXQX01.0069
SRR2481194	EXDX01.0358
SRR2481198	EXKX01.0261
SRR2481203	EXWX01.0377
SRR2481205	EVCX01.0019
SRR2481208	EXWX01.0058
SRR2481209	EXDX01.2044
SRR2481215	EVCX01.0147
SRR2481219	EXKX01.0011
SRR2481223	EXDX01.0152
SRR2481224	EXKX01.0011
SRR2481225	EXKX01.0011
SRR2481228	EVCX01.0495
SRR2481229	EXKX01.0011
SRR2481237	EXDX01.0958
SRR2481248	EXYX01.0032
SRR2481253	EXKX01.0289
SRR2481255	EXHX01.0992
SRR2481256	EXHX01.0047
SRR2481259	EXWX01.0498
SRR2481268	EVCX01.1389
SRR2481275	EXWX01.0377
SRR2481281	EXDX01.0020
SRR2481289	EXQX01.0106
SRR2481300	EVCX01.0526
SRR2481307	EXDX01.0497
SRR2481308	EXYX01.0058
SRR2481318	EXKX01.0142
SRR2481320	EXHX01.0992
SRR2481321	EXHX01.0992
SRR2481322	EXHX01.0992
SRR2481326	EXHX01.0784
SRR2481327	EXHX01.0784
SRR2481328	EXHX01.0784
SRR2481332	EVCX01.1186
SRR2481334	EXKX01.0001
SRR2481336	EXKX01.0033
SRR2481338	EVCX01.0029
SRR2481340	EXKX01.0052
SRR2481342	EXWX01.0084
SRR2481350	EXDX01.0489
SRR2481351	EXDX01.0384
SRR2481352	EVCX01.3360
SRR2481353	EXHX01.0784
SRR2481355	EXWX01.0084
SRR2481356	EXQX01.0017
SRR2481372	EXWX01.0030
SRR2481378	EXWX01.0055
SRR2481379	EXWX01.0055
SRR2481389	J16X01.3294
SRR2481391	J16X01.0232
SRR2481395	EXDX01.0472
SRR2535171	ENMX01.0326
SRR2535172	EXDX01.0148
SRR2535174	EXWX01.0826
SRR2535176	EXHX01.0125
SRR2535177	EXHX01.0074
SRR2535185	JZXN11.0291
