Sample_ID	Serotype
SRR1569999	EXW
SRR1570086	EXW
SRR1570089	EC1
SRR1570120	EXY
SRR1573227	EXD
SRR1573228	EXD
SRR1573229	EXD
SRR1573230	EXD
SRR1573231	EXD
SRR1580920	EXH
SRR1580927	EXH
SRR1580928	EXH
SRR1580930	EXH
SRR1581007	EVC
SRR1581008	EVC
SRR1581009	EVC
SRR1605254	J16
SRR1609769	EC5
SRR1609861	EXK
SRR1609862	EXK
SRR1609871	EXK
SRR1610025	EC5
SRR1610026	EXA
SRR1610028	EXK
SRR1610029	EXK
SRR1610030	EXK
SRR1610031	EXK
SRR1610032	EXK
SRR1610033	EXK
SRR1610034	EXK
SRR1610035	ENM
SRR1610037	ENM
SRR1634435	EXH
SRR1635539	EXD
SRR1635540	EVC
SRR1640151	ENM
SRR1640155	EXK
SRR1640157	EXK
SRR1649236	EXK
SRR1649237	EXK
SRR1649238	EXK
SRR1649240	EVC
SRR1663100	EXK
SRR1663153	EXK
SRR1663174	EXK
SRR1664386	EVC
SRR1664387	E71
SRR1664388	EXD
SRR1664393	EXQ
SRR1664397	EXW
SRR1664398	EXK
SRR1664400	EXY
SRR1691184	EXK
SRR1691186	EXD
SRR1691187	EXD
SRR1691188	EXD
SRR1693703	EXD
SRR1696794	EXK
SRR1714112	EXK
SRR1714116	EXK
SRR1714128	EVC
SRR1714132	EVC
SRR1714133	EVC
SRR1714134	EXW
SRR1724590	EVC
SRR1724591	EVC
SRR1724592	EXW
SRR1724594	EXW
SRR1724596	EXW
SRR1732278	EXK
SRR1732279	EXD
SRR1732281	EXK
SRR1732284	EVC
SRR1732295	EXK
SRR1732296	EXH
SRR1732298	EXH
SRR1732299	EXH
SRR1732301	EVC
SRR1734959	EVC
SRR1735268	EVC
SRR1735269	EVC
SRR1738016	ENM
SRR1738020	EXK
SRR1738021	EVC
SRR1750622	EVC
SRR1750644	EH2
SRR1750646	EXQ
SRR1758753	EXH
SRR1758760	EXH
SRR1767912	EVC
SRR1767913	EVC
SRR1767914	EXW
SRR1767915	EXW
SRR1767916	EXD
SRR1767917	EXW
SRR1767919	EVC
SRR1767921	EXW
